index,breed_primary,size
4552,Chihuahua,Small
4553,Chihuahua,Medium
4554,Chihuahua,Small
4555,Chihuahua,Small
4556,Pit Bull Terrier,Large
4557,Labrador Retriever,Medium
4558,Labrador Retriever,Large
4559,Pit Bull Terrier,Medium
4560,Rottweiler,Large
4561,Terrier,Small
4562,Cattle Dog,Medium
4563,Dogue de Bordeaux,Extra Large
4564,American Staffordshire Terrier,Extra Large
4565,Pit Bull Terrier,Large
4566,Pit Bull Terrier,Large
4567,Catahoula Leopard Dog,Large
4568,Labrador Retriever,Large
4569,Shepherd,Medium
4570,Pit Bull Terrier,Large
4571,Chihuahua,Small
4572,Chihuahua,Small
4573,Chihuahua,Small
4574,Chihuahua,Small
4575,Chihuahua,Small
4576,Pit Bull Terrier,Medium
4577,Pit Bull Terrier,Medium
4578,Terrier,Medium
4579,Great Dane,Large
4580,Chihuahua,Small
4581,Chihuahua,Small
4582,Chihuahua,Small
4583,Chihuahua,Small
4584,Pit Bull Terrier,Medium
4585,Shar-Pei,Large
4586,Australian Cattle Dog / Blue Heeler,Small
4587,Shepherd,Medium
4588,Australian Cattle Dog / Blue Heeler,Medium
4589,Shepherd,Large
4590,Chihuahua,Small
4591,German Shepherd Dog,Medium
4592,German Shepherd Dog,Large
4593,Bull Terrier,Medium
4594,Shar-Pei,Large
4595,Mastiff,Extra Large
4596,Chihuahua,Small
4597,Pit Bull Terrier,Medium
4598,Pit Bull Terrier,Large
4599,Chihuahua,Small
4600,Chihuahua,Small
4601,Chihuahua,Small
4602,Chihuahua,Small
4603,Staffordshire Bull Terrier,Medium
4604,Pit Bull Terrier,Large
4605,Chihuahua,Small
4606,Wheaten Terrier,Medium
4607,Chihuahua,Small
4608,Shepherd,Medium
4609,Cattle Dog,Medium
4610,Shepherd,Large
4611,Pit Bull Terrier,Medium
4612,Border Collie,Medium
4613,Australian Shepherd,Medium
4614,Cardigan Welsh Corgi,Small
4615,Terrier,Small
4616,Pit Bull Terrier,Large
4617,German Shepherd Dog,Large
4618,Australian Cattle Dog / Blue Heeler,Medium
4619,Boxer,Medium
4620,American Bulldog,Large
4621,Pit Bull Terrier,Large
4622,Belgian Shepherd / Malinois,Medium
4623,Labrador Retriever,Medium
4624,Pit Bull Terrier,Medium
4625,Bull Terrier,Extra Large
4626,Pit Bull Terrier,Medium
4627,German Shepherd Dog,Large
4628,Chihuahua,Medium
4629,Maltese,Medium
4630,American Staffordshire Terrier,Medium
4631,Pit Bull Terrier,Medium
4632,Labrador Retriever,Large
4633,Pit Bull Terrier,Large
4634,Pit Bull Terrier,Large
4635,Chihuahua,Small
4636,Pit Bull Terrier,Large
4637,Pit Bull Terrier,Large
4638,Black Labrador Retriever,Medium
4639,Pit Bull Terrier,Large
4640,Dachshund,Small
4641,Pit Bull Terrier,Large
4642,German Shepherd Dog,Large
4643,Golden Retriever,Large
4644,German Shepherd Dog,Medium
4645,Boston Terrier,Medium
4646,Pit Bull Terrier,Large
4647,Australian Shepherd,Medium
4648,Fox Terrier,Medium
4649,Pit Bull Terrier,Medium
4650,Pit Bull Terrier,Large
4651,Pit Bull Terrier,Medium
4652,Pit Bull Terrier,Medium
4653,Pit Bull Terrier,Medium
4654,Retriever,Medium
4655,Cairn Terrier,Small
4656,Cairn Terrier,Medium
4657,Pit Bull Terrier,Large
4658,German Shepherd Dog,Large
4659,Cattle Dog,Medium
4660,Cairn Terrier,Small
4661,Terrier,Small
4662,Labrador Retriever,Medium
4663,Australian Cattle Dog / Blue Heeler,Medium
4664,Australian Cattle Dog / Blue Heeler,Medium
4665,German Shepherd Dog,Medium
4666,Hound,Large
4667,Pit Bull Terrier,Large
4668,Pit Bull Terrier,Medium
4669,Boxer,Large
4670,Pit Bull Terrier,Medium
4671,Pit Bull Terrier,Large
4672,Staffordshire Bull Terrier,Large
4673,Pit Bull Terrier,Large
4674,Pit Bull Terrier,Medium
4675,Shar-Pei,Medium
4676,Chow Chow,Large
4677,Pit Bull Terrier,Large
4678,Australian Cattle Dog / Blue Heeler,Medium
4679,Mastiff,Large
4680,Australian Cattle Dog / Blue Heeler,Medium
4681,Cavalier King Charles Spaniel,Small
4682,Yorkshire Terrier,Small
4683,Yorkshire Terrier,Small
4684,Yorkshire Terrier,Small
4685,Yorkshire Terrier,Small
4686,Chihuahua,Small
4687,American Staffordshire Terrier,Medium
4688,Boerboel,Medium
4689,Airedale Terrier,Large
4690,Labrador Retriever,Large
4691,German Shepherd Dog,Medium
4692,Shepherd,Medium
4693,Rottweiler,Medium
4694,German Shepherd Dog,Large
4695,Mixed Breed,Medium
4696,German Shepherd Dog,Large
4697,Miniature Pinscher,Small
4698,Rhodesian Ridgeback,Large
4699,Pit Bull Terrier,Medium
4700,Pit Bull Terrier,Large
4701,Pit Bull Terrier,Medium
4702,Australian Cattle Dog / Blue Heeler,Medium
4703,Labrador Retriever,Large
4704,Labrador Retriever,Medium
4705,German Shepherd Dog,Small
4706,Pit Bull Terrier,Medium
4707,Bull Terrier,Medium
4708,German Shepherd Dog,Large
4709,Rat Terrier,Small
4710,Chihuahua,Small
4711,Border Collie,Medium
4712,Australian Cattle Dog / Blue Heeler,Medium
4713,Shepherd,Large
4714,Pit Bull Terrier,Medium
4715,Shepherd,Medium
4716,American Staffordshire Terrier,Medium
4717,Boxer,Small
4718,Mastiff,Large
4719,Saint Bernard,Large
4720,Mastiff,Large
4721,Border Collie,Large
4722,Staffordshire Bull Terrier,Large
4723,American Staffordshire Terrier,Large
4724,Beagle,Medium
4725,Labrador Retriever,Large
4726,Pit Bull Terrier,Large
4727,Australian Cattle Dog / Blue Heeler,Medium
4728,Pit Bull Terrier,Large
4729,Pekingese,Small
4730,Black Labrador Retriever,Small
4731,Pit Bull Terrier,Medium
4732,Pit Bull Terrier,Large
4733,Pit Bull Terrier,Medium
4734,Shepherd,Large
4735,Chihuahua,Small
4736,Shar-Pei,Large
4737,Cattle Dog,Large
4738,Pit Bull Terrier,Large
4739,Siberian Husky,Medium
4740,Australian Cattle Dog / Blue Heeler,Large
4741,Labrador Retriever,Large
4742,Giant Schnauzer,Large
4743,Boxer,Large
4744,Great Dane,Medium
4745,Chihuahua,Small
4746,Chihuahua,Small
4747,Great Dane,Extra Large
4748,Staffordshire Bull Terrier,Large
4749,Jack Russell Terrier,Small
4750,Pit Bull Terrier,Large
4751,Pit Bull Terrier,Medium
4752,Pit Bull Terrier,Large
4753,Pit Bull Terrier,Medium
4754,Pit Bull Terrier,Large
4755,Pit Bull Terrier,Large
4756,German Shepherd Dog,Medium
4757,Pit Bull Terrier,Large
4758,German Shepherd Dog,Large
4759,Pit Bull Terrier,Large
4760,Pit Bull Terrier,Large
4761,Pit Bull Terrier,Medium
4762,Chow Chow,Medium
4763,Shar-Pei,Medium
4764,Pit Bull Terrier,Large
4765,Pit Bull Terrier,Large
4766,Pit Bull Terrier,Large
4767,Pit Bull Terrier,Large
4768,Labrador Retriever,Large
4769,Pit Bull Terrier,Large
4770,Pit Bull Terrier,Large
4771,Pit Bull Terrier,Large
4772,Labrador Retriever,Medium
4773,American Bulldog,Large
4774,Labrador Retriever,Large
4775,Pit Bull Terrier,Large
4776,Pit Bull Terrier,Large
4777,Labrador Retriever,Large
4778,American Bulldog,Large
4779,Pit Bull Terrier,Large
4780,Labrador Retriever,Large
4781,Pit Bull Terrier,Medium
4782,American Staffordshire Terrier,Large
4783,Pit Bull Terrier,Large
4784,Labrador Retriever,Large
4785,American Bulldog,Large
4786,Labrador Retriever,Large
4787,Chow Chow,Large
4788,Pit Bull Terrier,Large
4789,Pit Bull Terrier,Large
4790,Rottweiler,Large
4791,Pit Bull Terrier,Large
4792,Labrador Retriever,Medium
4793,German Shepherd Dog,Large
4794,Pit Bull Terrier,Large
4795,Labrador Retriever,Large
4796,Pit Bull Terrier,Large
4797,German Shepherd Dog,Large
4798,Pit Bull Terrier,Large
4799,Pit Bull Terrier,Medium
4800,Pit Bull Terrier,Medium
4801,Pit Bull Terrier,Large
4802,Staffordshire Bull Terrier,Large
4803,Pit Bull Terrier,Large
4804,Pit Bull Terrier,Large
4805,German Shepherd Dog,Large
4806,Shar-Pei,Large
4807,Pit Bull Terrier,Large
4808,American Staffordshire Terrier,Medium
4809,Pit Bull Terrier,Large
4810,Pit Bull Terrier,Large
4811,Pit Bull Terrier,Large
4812,American Bulldog,Large
4813,Pit Bull Terrier,Large
4814,Doberman Pinscher,Large
4815,Australian Cattle Dog / Blue Heeler,Medium
4816,Chihuahua,Small
4817,German Shepherd Dog,Large
4818,Mastiff,Extra Large
4819,Newfoundland Dog,Extra Large
4820,Chihuahua,Small
4821,Boxer,Large
4822,English Cocker Spaniel,Small
4823,Australian Cattle Dog / Blue Heeler,Medium
4824,Australian Cattle Dog / Blue Heeler,Medium
4825,Australian Cattle Dog / Blue Heeler,Large
4826,Shepherd,Medium
4827,Miniature Pinscher,Small
4828,Great Dane,Medium
4829,Beagle,Medium
4830,Shar-Pei,Medium
4831,Chihuahua,Small
4832,Cocker Spaniel,Medium
4833,Chihuahua,Small
4834,Shepherd,Large
4835,Siberian Husky,Large
4836,Siberian Husky,Large
4837,Rottweiler,Large
4838,American Staffordshire Terrier,Medium
4839,Labrador Retriever,Medium
4840,Pit Bull Terrier,Medium
4841,Beagle,Medium
4842,Shepherd,Small
4843,Australian Shepherd,Medium
4844,Cattle Dog,Medium
4845,American Staffordshire Terrier,Medium
4846,Terrier,Small
4847,Rottweiler,Large
4848,German Shepherd Dog,Large
4849,Chihuahua,Small
4850,Boxer,Large
4851,Labrador Retriever,Medium
4852,West Highland White Terrier / Westie,Small
4853,Cairn Terrier,Medium
4854,Pomeranian,Small
4855,Pug,Medium
4856,Pug,Medium
4857,Pug,Medium
4858,Pug,Medium
4859,Pug,Medium
4860,Pomeranian,Small
4861,Terrier,Medium
4862,Shepherd,Medium
4863,Yellow Labrador Retriever,Large
4864,Boxer,Medium
4865,Terrier,Medium
4866,Siberian Husky,Medium
4867,Retriever,Large
4868,Terrier,Small
4869,Chihuahua,Small
4870,Terrier,Small
4871,Pit Bull Terrier,Medium
4872,Cairn Terrier,Small
4873,Chihuahua,Small
4874,Great Dane,Medium
4875,German Shepherd Dog,Large
4876,Poodle,Small
4877,Chihuahua,Small
4878,Shepherd,Large
4879,Chihuahua,Small
4880,Shar-Pei,Large
4881,Pomeranian,Small
4882,Chihuahua,Small
4883,Standard Schnauzer,Medium
4884,Miniature Schnauzer,Small
4885,American Bulldog,Large
4886,Akita,Large
4887,Terrier,Small
4888,Border Collie,Medium
4889,Mixed Breed,Medium
4890,Miniature Pinscher,Small
4891,Terrier,Small
4892,Dachshund,Small
4893,Cairn Terrier,Small
4894,Dachshund,Small
4895,Pit Bull Terrier,Medium
4896,Australian Cattle Dog / Blue Heeler,Medium
4897,Australian Cattle Dog / Blue Heeler,Medium
4898,Chihuahua,Small
4899,Labrador Retriever,Medium
4900,Pit Bull Terrier,Large
4901,Chihuahua,Medium
4902,Chihuahua,Small
4903,Pit Bull Terrier,Medium
4904,Belgian Shepherd / Malinois,Medium
4905,Schnauzer,Small
4906,Australian Kelpie,Medium
4907,Chihuahua,Small
4908,Pit Bull Terrier,Medium
4909,Pit Bull Terrier,Medium
4910,Pit Bull Terrier,Large
4911,Mastiff,Medium
4912,German Shepherd Dog,Extra Large
4913,Rat Terrier,Small
4914,Italian Greyhound,Small
4915,Golden Retriever,Large
4916,Beagle,Medium
4917,Beagle,Medium
4918,Doberman Pinscher,Large
4919,Rottweiler,Large
4920,Corgi,Small
4921,Great Dane,Medium
4922,Dachshund,Small
4923,German Shepherd Dog,Large
4924,Chihuahua,Small
4925,Chihuahua,Small
4926,Papillon,Small
4927,Shih Tzu,Small
4928,Labrador Retriever,Large
4929,American Bulldog,Medium
4930,Shepherd,Medium
4931,Terrier,Small
4932,Pit Bull Terrier,Large
4933,Pit Bull Terrier,Medium
4934,Pit Bull Terrier,Large
4935,Pit Bull Terrier,Medium
4936,Australian Cattle Dog / Blue Heeler,Medium
4937,Pit Bull Terrier,Large
4938,Shar-Pei,Small
4939,Catahoula Leopard Dog,Large
4940,Pit Bull Terrier,Large
4941,Pit Bull Terrier,Large
4942,Pit Bull Terrier,Large
4943,Terrier,Small
4944,Terrier,Small
4945,Chihuahua,Small
4946,Australian Shepherd,Medium
4947,Saint Bernard,Extra Large
4948,Clumber Spaniel,Medium
4949,Chihuahua,Small
4950,Terrier,Small
4951,Chihuahua,Small
4952,Doberman Pinscher,Medium
4953,Australian Cattle Dog / Blue Heeler,Medium
4954,Australian Cattle Dog / Blue Heeler,Medium
4955,Doberman Pinscher,Medium
4956,Pit Bull Terrier,Medium
4957,Cattle Dog,Medium
4958,Shepherd,Large
4959,Shepherd,Medium
4960,Australian Cattle Dog / Blue Heeler,Medium
4961,Australian Cattle Dog / Blue Heeler,Medium
4962,Australian Cattle Dog / Blue Heeler,Medium
4963,Australian Cattle Dog / Blue Heeler,Medium
4964,German Shepherd Dog,Medium
4965,Chihuahua,Small
4966,German Shepherd Dog,Large
4967,Plott Hound,Medium
4968,Pit Bull Terrier,Medium
4969,Labrador Retriever,Large
4970,Pit Bull Terrier,Large
4971,Pit Bull Terrier,Medium
4972,Pit Bull Terrier,Medium
4973,Terrier,Medium
4974,Labrador Retriever,Large
4975,Dachshund,Small
4976,Chihuahua,Small
4977,Chihuahua,Small
4978,Husky,Large
4979,Chihuahua,Small
4980,Corgi,Medium
4981,Great Dane,Extra Large
4982,Hound,Large
4983,Chihuahua,Small
4984,Chihuahua,Small
4985,Cattle Dog,Medium
4986,Pit Bull Terrier,Medium
4987,Cattle Dog,Medium
4988,Pit Bull Terrier,Medium
4989,Labrador Retriever,Medium
4990,American Staffordshire Terrier,Large
4991,Chihuahua,Small
4992,Chihuahua,Small
4993,Mastiff,Large
4994,Chihuahua,Small
4995,Chihuahua,Small
4996,Terrier,Small
4997,Beagle,Small
4998,Chihuahua,Small
4999,Italian Greyhound,Small
5000,Chihuahua,Small
5001,Shepherd,Medium
5002,Shepherd,Large
5003,Bullmastiff,Large
5004,Shih Tzu,Small
5005,German Shepherd Dog,Large
5006,Pointer,Large
5007,Beagle,Medium
5008,Chihuahua,Small
5009,German Shepherd Dog,Large
5010,Pit Bull Terrier,Medium
5011,Pit Bull Terrier,Medium
5012,Pit Bull Terrier,Large
5013,Chihuahua,Small
5014,Shih Tzu,Small
5015,Poodle,Small
5016,Australian Cattle Dog / Blue Heeler,Medium
5017,Mastiff,Medium
5018,Labrador Retriever,Large
5019,Pointer,Medium
5020,Miniature Pinscher,Small
5021,Rottweiler,Large
5022,Terrier,Small
5023,German Shepherd Dog,Large
5024,German Shepherd Dog,Large
5025,Great Dane,Medium
5026,Pit Bull Terrier,Medium
5027,Australian Cattle Dog / Blue Heeler,Medium
5028,Australian Cattle Dog / Blue Heeler,Medium
5029,Schnauzer,Small
5030,Schnauzer,Small
5031,Schnauzer,Small
5032,Chihuahua,Small
5033,Chihuahua,Small
5034,Dachshund,Small
5035,Shepherd,Large
5036,Shepherd,Medium
5037,Pit Bull Terrier,Medium
5038,Pit Bull Terrier,Medium
5039,German Shepherd Dog,Medium
5040,Labrador Retriever,Large
5041,Labrador Retriever,Large
5042,Pit Bull Terrier,Large
5043,Labrador Retriever,Medium
5044,Australian Cattle Dog / Blue Heeler,Medium
5045,Labrador Retriever,Medium
5046,Great Dane,Large
5047,Chihuahua,Small
5048,Pit Bull Terrier,Medium
5049,Lhasa Apso,Medium
5050,Rottweiler,Large
5051,Border Collie,Medium
5052,Australian Cattle Dog / Blue Heeler,Medium
5053,Australian Cattle Dog / Blue Heeler,Medium
5054,Pug,Medium
5055,Pug,Medium
5056,American Staffordshire Terrier,Medium
5057,Chihuahua,Small
5058,Jack Russell Terrier,Small
5059,Akita,Large
5060,Dachshund,Medium
5061,German Shepherd Dog,Large
5062,Pit Bull Terrier,Large
5063,Chihuahua,Small
5064,Chihuahua,Small
5065,Pit Bull Terrier,Medium
5066,Australian Shepherd,Medium
5067,Australian Shepherd,Medium
5068,German Shepherd Dog,Large
5069,Chihuahua,Small
5070,Chihuahua,Small
5071,Dachshund,Small
5072,Pomeranian,Small
5073,Chihuahua,Small
5074,Pit Bull Terrier,Medium
5075,Belgian Shepherd / Malinois,Large
5076,American Bulldog,Medium
5077,Coonhound,Large
5078,Shepherd,Medium
5079,Shepherd,Medium
5080,Flat-Coated Retriever,Large
5081,Great Dane,Extra Large
5082,German Shepherd Dog,Medium
5083,Australian Cattle Dog / Blue Heeler,Medium
5084,Cattle Dog,Large
5085,Pug,Medium
5086,Rottweiler,Large
5087,Border Collie,Medium
5088,Border Collie,Medium
5089,Mastiff,Extra Large
5090,Husky,Large
5091,Miniature Pinscher,Medium
5092,Pug,Medium
5093,Chihuahua,Small
5094,Labrador Retriever,Large
5095,German Shepherd Dog,Large
5096,Poodle,Medium
5097,Vizsla,Medium
5098,Shar-Pei,Medium
5099,Rottweiler,Large
5100,Terrier,Large
5101,Rottweiler,Large
5102,Rottweiler,Large
5103,Chihuahua,Small
5104,Chihuahua,Small
5105,Boxer,Medium
5106,Chihuahua,Small
5107,Labrador Retriever,Large
5108,Dachshund,Small
5109,Mastiff,Extra Large
5110,Pit Bull Terrier,Medium
5111,Pit Bull Terrier,Medium
5112,German Shepherd Dog,Large
5113,Pug,Medium
5114,German Shepherd Dog,Medium
5115,Australian Shepherd,Large
5116,American Bulldog,Large
5117,Chihuahua,Small
5118,Chihuahua,Small
5119,Chihuahua,Small
5120,Pit Bull Terrier,Medium
5121,Yorkshire Terrier,Small
5122,Australian Cattle Dog / Blue Heeler,Medium
5123,Chihuahua,Small
5124,Boston Terrier,Small
5125,Australian Cattle Dog / Blue Heeler,Medium
5126,German Shepherd Dog,Medium
5127,Poodle,Small
5128,Chihuahua,Small
5129,Chihuahua,Small
5130,Pit Bull Terrier,Large
5131,Chihuahua,Small
5132,Terrier,Small
5133,Pit Bull Terrier,Medium
5134,Cattle Dog,Large
5135,Chihuahua,Small
5136,Pit Bull Terrier,Large
5137,Hound,Medium
5138,Labrador Retriever,Large
5139,Pit Bull Terrier,Large
5140,Chihuahua,Small
5141,Chihuahua,Small
5142,Cattle Dog,Medium
5143,Chihuahua,Small
5144,Chihuahua,Small
5145,Chihuahua,Small
5146,Patterdale Terrier / Fell Terrier,Medium
5147,Chihuahua,Medium
5148,Labrador Retriever,Medium
5149,Australian Shepherd,Small
5150,German Shepherd Dog,Medium
5151,Labrador Retriever,Large
5152,German Shepherd Dog,Large
5153,Labrador Retriever,Large
5154,Chihuahua,Small
5155,German Shepherd Dog,Medium
5156,Cocker Spaniel,Medium
5157,German Shepherd Dog,Large
5158,Boxer,Large
5159,Pit Bull Terrier,Medium
5160,Pit Bull Terrier,Large
5161,Pit Bull Terrier,Medium
5162,Pit Bull Terrier,Medium
5163,Australian Cattle Dog / Blue Heeler,Medium
5164,Catahoula Leopard Dog,Large
5165,American Staffordshire Terrier,Large
5166,Pit Bull Terrier,Medium
5167,Chihuahua,Small
5168,Yellow Labrador Retriever,Large
5169,Jack Russell Terrier,Small
5170,Beagle,Small
5171,Pit Bull Terrier,Large
5172,Rottweiler,Large
5173,Chihuahua,Small
5174,Chihuahua,Small
5175,Chihuahua,Small
5176,Shepherd,Medium
5177,Pointer,Medium
5178,Labrador Retriever,Large
5179,Pit Bull Terrier,Large
5180,Pit Bull Terrier,Medium
5181,Mastiff,Large
5182,Shar-Pei,Large
5183,German Shepherd Dog,Medium
5184,Chihuahua,Small
5185,Mastiff,Extra Large
5186,Cattle Dog,Large
5187,Shar-Pei,Large
5188,Boxer,Large
5189,Dogue de Bordeaux,Extra Large
5190,Chihuahua,Small
5191,Chihuahua,Small
5192,Labrador Retriever,Large
5193,Pit Bull Terrier,Medium
5194,Chihuahua,Small
5195,Australian Cattle Dog / Blue Heeler,Medium
5196,Chihuahua,Small
5197,Pit Bull Terrier,Medium
5198,Chihuahua,Small
5199,Australian Kelpie,Large
5200,Chihuahua,Small
5201,German Shepherd Dog,Medium
5202,Dachshund,Small
5203,Akita,Large
5204,Cairn Terrier,Small
5205,Lhasa Apso,Medium
5206,Cocker Spaniel,Medium
5207,Akita,Large
5208,Shepherd,Large
5209,Pit Bull Terrier,Large
5210,Labrador Retriever,Large
5211,Labrador Retriever,Large
5212,Pit Bull Terrier,Large
5213,Cane Corso,Extra Large
5214,Vizsla,Large
5215,Bullmastiff,Large
5216,Boxer,Large
5217,Labrador Retriever,Large
5218,Australian Cattle Dog / Blue Heeler,Medium
5219,Australian Cattle Dog / Blue Heeler,Medium
5220,Australian Cattle Dog / Blue Heeler,Medium
5221,Great Dane,Extra Large
5222,Labrador Retriever,Large
5223,American Bulldog,Large
5224,Dachshund,Small
5225,German Shepherd Dog,Medium
5226,Chihuahua,Small
5227,Miniature Pinscher,Small
5228,Miniature Pinscher,Small
5229,Australian Shepherd,Medium
5230,Labrador Retriever,Large
5231,Pharaoh Hound,Small
5232,Pit Bull Terrier,Medium
5233,Siberian Husky,Medium
5234,American Staffordshire Terrier,Medium
5235,Pit Bull Terrier,Large
5236,Vizsla,Medium
5237,Mixed Breed,Medium
5238,Black Mouth Cur,Large
5239,Chihuahua,Small
5240,Labrador Retriever,Medium
5241,Cattle Dog,Medium
5242,Border Collie,Medium
5243,Mastiff,Extra Large
5244,Boxer,Medium
5245,German Shepherd Dog,Large
5246,Pit Bull Terrier,Large
5247,Labrador Retriever,Medium
5248,Labrador Retriever,Large
5249,Pit Bull Terrier,Medium
5250,Labrador Retriever,Medium
5251,Chihuahua,Small
5252,Pit Bull Terrier,Large
5253,Chihuahua,Small
5254,German Shepherd Dog,Large
5255,Chihuahua,Small
5256,Chihuahua,Small
5257,Chihuahua,Small
5258,Boxer,Medium
5259,Labrador Retriever,Medium
5260,Labrador Retriever,Medium
5261,Miniature Pinscher,Small
5262,Chihuahua,Small
5263,Chihuahua,Small
5264,Chihuahua,Small
5265,Cattle Dog,Medium
5266,Pit Bull Terrier,Large
5267,Pit Bull Terrier,Large
5268,Chihuahua,Small
5269,Fox Terrier,Medium
5270,Australian Cattle Dog / Blue Heeler,Medium
5271,Redbone Coonhound,Large
5272,Redbone Coonhound,Large
5273,Cane Corso,Medium
5274,Giant Schnauzer,Large
5275,Australian Cattle Dog / Blue Heeler,Medium
5276,Chihuahua,Small
5277,Labrador Retriever,Medium
5278,Chihuahua,Small
5279,American Bulldog,Large
5280,Catahoula Leopard Dog,Medium
5281,Australian Cattle Dog / Blue Heeler,Medium
5282,Miniature Pinscher,Small
5283,Xoloitzcuintli / Mexican Hairless,Small
5284,American Staffordshire Terrier,Large
5285,Boxer,Medium
5286,Great Dane,Extra Large
5287,Pit Bull Terrier,Medium
5288,Pit Bull Terrier,Large
5289,Labrador Retriever,Large
5290,Shepherd,Large
5291,Shepherd,Large
5292,American Staffordshire Terrier,Large
5293,Staffordshire Bull Terrier,Large
5294,Australian Shepherd,Medium
5295,Miniature Dachshund,Small
5296,Chihuahua,Small
5297,Pit Bull Terrier,Medium
5298,Pit Bull Terrier,Medium
5299,Shepherd,Medium
5300,Mastiff,Extra Large
5301,Boxer,Large
5302,Boxer,Medium
5303,American Staffordshire Terrier,Medium
5304,Great Dane,Extra Large
5305,American Staffordshire Terrier,Large
5306,Labrador Retriever,Large
5307,Pit Bull Terrier,Medium
5308,Parson Russell Terrier,Small
5309,German Shepherd Dog,Large
5310,Pit Bull Terrier,Medium
5311,Pit Bull Terrier,Large
5312,Labrador Retriever,Large
5313,American Staffordshire Terrier,Medium
5314,Pit Bull Terrier,Large
5315,Pit Bull Terrier,Medium
5316,Pug,Small
5317,Pug,Small
5318,Rat Terrier,Small
5319,Labrador Retriever,Large
5320,Rottweiler,Large
5321,Chihuahua,Small
5322,Chihuahua,Small
5323,Yorkshire Terrier,Small
5324,Yorkshire Terrier,Small
5325,Vizsla,Medium
5326,Pit Bull Terrier,Medium
5327,American Staffordshire Terrier,Medium
5328,Shar-Pei,Medium
5329,Border Collie,Medium
5330,Labrador Retriever,Medium
5331,Pit Bull Terrier,Large
5332,Chihuahua,Small
5333,Chihuahua,Small
5334,Chihuahua,Small
5335,Chihuahua,Small
5336,Australian Cattle Dog / Blue Heeler,Medium
5337,Chihuahua,Small
5338,Chihuahua,Small
5339,Shepherd,Medium
5340,Husky,Large
5341,German Shepherd Dog,Large
5342,Labrador Retriever,Large
5343,Rottweiler,Large
5344,Australian Kelpie,Small
5345,Rhodesian Ridgeback,Medium
5346,Pit Bull Terrier,Large
5347,Jack Russell Terrier,Small
5348,Pit Bull Terrier,Medium
5349,American Bulldog,Large
5350,Pit Bull Terrier,Large
5351,Jack Russell Terrier,Medium
5352,Australian Cattle Dog / Blue Heeler,Medium
5353,Mixed Breed,Medium
5354,Australian Shepherd,Medium
5355,Pit Bull Terrier,Medium
5356,Husky,Large
5357,Akita,Large
5358,Maltese,Small
5359,German Shorthaired Pointer,Medium
5360,Mastiff,Extra Large
5361,Siberian Husky,Large
5362,Australian Shepherd,Medium
5363,Wheaten Terrier,Large
5364,Bullmastiff,Extra Large
5365,German Shepherd Dog,Medium
5366,American Staffordshire Terrier,Large
5367,Cattle Dog,Medium
5368,Cattle Dog,Medium
5369,Cattle Dog,Medium
5370,Cattle Dog,Medium
5371,Great Pyrenees,Large
5372,Terrier,Small
5373,Rottweiler,Large
5374,Border Terrier,Small
5375,Husky,Large
5376,Cattle Dog,Medium
5377,Saint Bernard,Large
5378,Pit Bull Terrier,Large
5379,American Bulldog,Medium
5380,Pit Bull Terrier,Large
5381,Miniature Pinscher,Small
5382,Terrier,Small
5383,American Bulldog,Large
5384,Mixed Breed,Small
5385,Chocolate Labrador Retriever,Medium
5386,Pit Bull Terrier,Large
5387,Shih Tzu,Small
5388,Shih Tzu,Small
5389,Chihuahua,Small
5390,Chihuahua,Small
5391,Poodle,Small
5392,Great Pyrenees,Large
5393,Great Pyrenees,Large
5394,Labrador Retriever,Large
5395,German Shorthaired Pointer,Medium
5396,Terrier,Small
5397,Terrier,Small
5398,Pit Bull Terrier,Medium
5399,Pit Bull Terrier,Medium
5400,Pit Bull Terrier,Medium
5401,Australian Cattle Dog / Blue Heeler,Medium
5402,Shar-Pei,Large
5403,Pit Bull Terrier,Large
5404,Labrador Retriever,Medium
5405,German Shepherd Dog,Medium
5406,Pit Bull Terrier,Large
5407,Mixed Breed,Medium
5408,American Staffordshire Terrier,Large
5409,Pit Bull Terrier,Large
5410,Chihuahua,Small
5411,Pit Bull Terrier,Large
5412,Shepherd,Medium
5413,American Bulldog,Large
5414,Pit Bull Terrier,Large
5415,Labrador Retriever,Medium
5416,American Bulldog,Medium
5417,American Bulldog,Medium
5418,Boxer,Medium
5419,Labrador Retriever,Medium
5420,Dachshund,Small
5421,Chihuahua,Small
5422,Miniature Pinscher,Small
5423,Shih Tzu,Small
5424,Pit Bull Terrier,Large
5425,Labrador Retriever,Medium
5426,Pit Bull Terrier,Medium
5427,Yorkshire Terrier,Small
5428,Chihuahua,Small
5429,Black Labrador Retriever,Large
5430,Staffordshire Bull Terrier,Large
5431,Saint Bernard,Extra Large
5432,Shepherd,Medium
5433,Corgi,Small
5434,Great Pyrenees,Extra Large
5435,Chihuahua,Small
5436,Schnauzer,Small
5437,Pug,Small
5438,Miniature Pinscher,Small
5439,Pug,Small
5440,Border Collie,Medium
5441,Brussels Griffon,Small
5442,Chihuahua,Small
5443,Pit Bull Terrier,Medium
5444,American Staffordshire Terrier,Medium
5445,Shepherd,Large
5446,Pit Bull Terrier,Large
5447,Pit Bull Terrier,Large
5448,American Staffordshire Terrier,Large
5449,Pit Bull Terrier,Medium
5450,Corgi,Small
5451,German Shepherd Dog,Medium
5452,Boxer,Medium
5453,American Staffordshire Terrier,Medium
5454,Saint Bernard,Extra Large
